"Step","stoic-sweep-10 - val_acc","stoic-sweep-10 - val_acc__MIN","stoic-sweep-10 - val_acc__MAX","wobbly-sweep-9 - val_acc","wobbly-sweep-9 - val_acc__MIN","wobbly-sweep-9 - val_acc__MAX","different-sweep-8 - val_acc","different-sweep-8 - val_acc__MIN","different-sweep-8 - val_acc__MAX","fresh-sweep-7 - val_acc","fresh-sweep-7 - val_acc__MIN","fresh-sweep-7 - val_acc__MAX","vague-sweep-6 - val_acc","vague-sweep-6 - val_acc__MIN","vague-sweep-6 - val_acc__MAX","autumn-sweep-5 - val_acc","autumn-sweep-5 - val_acc__MIN","autumn-sweep-5 - val_acc__MAX","peachy-sweep-4 - val_acc","peachy-sweep-4 - val_acc__MIN","peachy-sweep-4 - val_acc__MAX","resilient-sweep-3 - val_acc","resilient-sweep-3 - val_acc__MIN","resilient-sweep-3 - val_acc__MAX","crimson-sweep-2 - val_acc","crimson-sweep-2 - val_acc__MIN","crimson-sweep-2 - val_acc__MAX","legendary-sweep-1 - val_acc","legendary-sweep-1 - val_acc__MIN","legendary-sweep-1 - val_acc__MAX"
"16","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.10159999877214432","0.10159999877214432","0.10159999877214432"
"30","0.14800000190734863","0.14800000190734863","0.14800000190734863","0.15360000729560852","0.15360000729560852","0.15360000729560852","0.1785999983549118","0.1785999983549118","0.1785999983549118","0.15760000050067902","0.15760000050067902","0.15760000050067902","0.09239999949932098","0.09239999949932098","0.09239999949932098","0.10019999742507935","0.10019999742507935","0.10019999742507935","0.1599999964237213","0.1599999964237213","0.1599999964237213","0.0982000008225441","0.0982000008225441","0.0982000008225441","0.11800000071525574","0.11800000071525574","0.11800000071525574","","",""
"33","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.10159999877214432","0.10159999877214432","0.10159999877214432"
"50","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.10159999877214432","0.10159999877214432","0.10159999877214432"
"61","0.2685999870300293","0.2685999870300293","0.2685999870300293","0.22220000624656677","0.22220000624656677","0.22220000624656677","0.26579999923706055","0.26579999923706055","0.26579999923706055","0.2919999957084656","0.2919999957084656","0.2919999957084656","0.2101999968290329","0.2101999968290329","0.2101999968290329","0.15000000596046448","0.15000000596046448","0.15000000596046448","0.326200008392334","0.326200008392334","0.326200008392334","0.0982000008225441","0.0982000008225441","0.0982000008225441","0.24740000069141388","0.24740000069141388","0.24740000069141388","","",""
"67","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.10159999877214432","0.10159999877214432","0.10159999877214432"
"92","0.32179999351501465","0.32179999351501465","0.32179999351501465","0.3553999960422516","0.3553999960422516","0.3553999960422516","0.3643999993801117","0.3643999993801117","0.3643999993801117","0.3930000066757202","0.3930000066757202","0.3930000066757202","0.3431999981403351","0.3431999981403351","0.3431999981403351","0.31060001254081726","0.31060001254081726","0.31060001254081726","0.3935999870300293","0.3935999870300293","0.3935999870300293","0.0982000008225441","0.0982000008225441","0.0982000008225441","0.37040001153945923","0.37040001153945923","0.37040001153945923","","",""
"123","0.41600000858306885","0.41600000858306885","0.41600000858306885","0.40700000524520874","0.40700000524520874","0.40700000524520874","0.4300000071525574","0.4300000071525574","0.4300000071525574","0.42179998755455017","0.42179998755455017","0.42179998755455017","0.4106000065803528","0.4106000065803528","0.4106000065803528","0.3700000047683716","0.3700000047683716","0.3700000047683716","0.4343999922275543","0.4343999922275543","0.4343999922275543","0.0982000008225441","0.0982000008225441","0.0982000008225441","0.4002000093460083","0.4002000093460083","0.4002000093460083","","",""
"154","0.45840001106262207","0.45840001106262207","0.45840001106262207","0.45019999146461487","0.45019999146461487","0.45019999146461487","0.47440001368522644","0.47440001368522644","0.47440001368522644","0.4496000111103058","0.4496000111103058","0.4496000111103058","0.451200008392334","0.451200008392334","0.451200008392334","0.4311999976634979","0.4311999976634979","0.4311999976634979","0.49880000948905945","0.49880000948905945","0.49880000948905945","","","","0.4440000057220459","0.4440000057220459","0.4440000057220459","","",""
