"Step","stoic-sweep-10 - val_loss","stoic-sweep-10 - val_loss__MIN","stoic-sweep-10 - val_loss__MAX","wobbly-sweep-9 - val_loss","wobbly-sweep-9 - val_loss__MIN","wobbly-sweep-9 - val_loss__MAX","different-sweep-8 - val_loss","different-sweep-8 - val_loss__MIN","different-sweep-8 - val_loss__MAX","fresh-sweep-7 - val_loss","fresh-sweep-7 - val_loss__MIN","fresh-sweep-7 - val_loss__MAX","vague-sweep-6 - val_loss","vague-sweep-6 - val_loss__MIN","vague-sweep-6 - val_loss__MAX","autumn-sweep-5 - val_loss","autumn-sweep-5 - val_loss__MIN","autumn-sweep-5 - val_loss__MAX","peachy-sweep-4 - val_loss","peachy-sweep-4 - val_loss__MIN","peachy-sweep-4 - val_loss__MAX","resilient-sweep-3 - val_loss","resilient-sweep-3 - val_loss__MIN","resilient-sweep-3 - val_loss__MAX","crimson-sweep-2 - val_loss","crimson-sweep-2 - val_loss__MIN","crimson-sweep-2 - val_loss__MAX","legendary-sweep-1 - val_loss","legendary-sweep-1 - val_loss__MIN","legendary-sweep-1 - val_loss__MAX"
"16","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.3031091690063477","2.3031091690063477","2.3031091690063477"
"30","2.2992351055145264","2.2992351055145264","2.2992351055145264","2.3008859157562256","2.3008859157562256","2.3008859157562256","2.2993218898773193","2.2993218898773193","2.2993218898773193","2.298788070678711","2.298788070678711","2.298788070678711","2.302023410797119","2.302023410797119","2.302023410797119","2.301969289779663","2.301969289779663","2.301969289779663","2.296626091003418","2.296626091003418","2.296626091003418","2.303293466567993","2.303293466567993","2.303293466567993","2.3009588718414307","2.3009588718414307","2.3009588718414307","","",""
"33","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.3030929565429688","2.3030929565429688","2.3030929565429688"
"50","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.3030776977539062","2.3030776977539062","2.3030776977539062"
"61","2.031073570251465","2.031073570251465","2.031073570251465","2.161186456680298","2.161186456680298","2.161186456680298","1.9978430271148682","1.9978430271148682","1.9978430271148682","1.987004280090332","1.987004280090332","1.987004280090332","2.2762606143951416","2.2762606143951416","2.2762606143951416","2.2841103076934814","2.2841103076934814","2.2841103076934814","1.8787955045700073","1.8787955045700073","1.8787955045700073","2.3032584190368652","2.3032584190368652","2.3032584190368652","2.0680625438690186","2.0680625438690186","2.0680625438690186","","",""
"67","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.303062677383423","2.303062677383423","2.303062677383423"
"92","1.8489360809326172","1.8489360809326172","1.8489360809326172","1.7954974174499512","1.7954974174499512","1.7954974174499512","1.7424843311309814","1.7424843311309814","1.7424843311309814","1.710157871246338","1.710157871246338","1.710157871246338","1.814765453338623","1.814765453338623","1.814765453338623","1.9278056621551514","1.9278056621551514","1.9278056621551514","1.6746495962142944","1.6746495962142944","1.6746495962142944","2.30322265625","2.30322265625","2.30322265625","1.7801786661148071","1.7801786661148071","1.7801786661148071","","",""
"123","1.6230647563934326","1.6230647563934326","1.6230647563934326","1.60365891456604","1.60365891456604","1.60365891456604","1.5798417329788208","1.5798417329788208","1.5798417329788208","1.5472524166107178","1.5472524166107178","1.5472524166107178","1.5894906520843506","1.5894906520843506","1.5894906520843506","1.7188307046890259","1.7188307046890259","1.7188307046890259","1.5242387056350708","1.5242387056350708","1.5242387056350708","2.30318546295166","2.30318546295166","2.30318546295166","1.635862946510315","1.635862946510315","1.635862946510315","","",""
"154","1.489139199256897","1.489139199256897","1.489139199256897","1.4901527166366577","1.4901527166366577","1.4901527166366577","1.4405564069747925","1.4405564069747925","1.4405564069747925","1.4829093217849731","1.4829093217849731","1.4829093217849731","1.5106079578399658","1.5106079578399658","1.5106079578399658","1.5361049175262451","1.5361049175262451","1.5361049175262451","1.3889809846878052","1.3889809846878052","1.3889809846878052","","","","1.49065363407135","1.49065363407135","1.49065363407135","","",""
