"Step","stoic-sweep-10 - train_loss_epoch","stoic-sweep-10 - train_loss_epoch__MIN","stoic-sweep-10 - train_loss_epoch__MAX","wobbly-sweep-9 - train_loss_epoch","wobbly-sweep-9 - train_loss_epoch__MIN","wobbly-sweep-9 - train_loss_epoch__MAX","different-sweep-8 - train_loss_epoch","different-sweep-8 - train_loss_epoch__MIN","different-sweep-8 - train_loss_epoch__MAX","fresh-sweep-7 - train_loss_epoch","fresh-sweep-7 - train_loss_epoch__MIN","fresh-sweep-7 - train_loss_epoch__MAX","vague-sweep-6 - train_loss_epoch","vague-sweep-6 - train_loss_epoch__MIN","vague-sweep-6 - train_loss_epoch__MAX","autumn-sweep-5 - train_loss_epoch","autumn-sweep-5 - train_loss_epoch__MIN","autumn-sweep-5 - train_loss_epoch__MAX","peachy-sweep-4 - train_loss_epoch","peachy-sweep-4 - train_loss_epoch__MIN","peachy-sweep-4 - train_loss_epoch__MAX","resilient-sweep-3 - train_loss_epoch","resilient-sweep-3 - train_loss_epoch__MIN","resilient-sweep-3 - train_loss_epoch__MAX","crimson-sweep-2 - train_loss_epoch","crimson-sweep-2 - train_loss_epoch__MIN","crimson-sweep-2 - train_loss_epoch__MAX","legendary-sweep-1 - train_loss_epoch","legendary-sweep-1 - train_loss_epoch__MIN","legendary-sweep-1 - train_loss_epoch__MAX"
"17","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.3032937049865723","2.3032937049865723","2.3032937049865723"
"31","2.30181884765625","2.30181884765625","2.30181884765625","2.3020246028900146","2.3020246028900146","2.3020246028900146","2.301750659942627","2.301750659942627","2.301750659942627","2.3015270233154297","2.3015270233154297","2.3015270233154297","2.3024439811706543","2.3024439811706543","2.3024439811706543","2.3025450706481934","2.3025450706481934","2.3025450706481934","2.3012168407440186","2.3012168407440186","2.3012168407440186","2.3033106327056885","2.3033106327056885","2.3033106327056885","2.3023462295532227","2.3023462295532227","2.3023462295532227","","",""
"34","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.3032734394073486","2.3032734394073486","2.3032734394073486"
"51","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.3032572269439697","2.3032572269439697","2.3032572269439697"
"62","2.2294578552246094","2.2294578552246094","2.2294578552246094","2.285635471343994","2.285635471343994","2.285635471343994","2.1911535263061523","2.1911535263061523","2.1911535263061523","2.193114995956421","2.193114995956421","2.193114995956421","2.297133445739746","2.297133445739746","2.297133445739746","2.2983362674713135","2.2983362674713135","2.2983362674713135","2.103501319885254","2.103501319885254","2.103501319885254","2.3032712936401367","2.3032712936401367","2.3032712936401367","2.2655224800109863","2.2655224800109863","2.2655224800109863","","",""
"68","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.303237199783325","2.303237199783325","2.303237199783325"
"93","1.9472354650497437","1.9472354650497437","1.9472354650497437","1.9274156093597412","1.9274156093597412","1.9274156093597412","1.8746427297592163","1.8746427297592163","1.8746427297592163","1.860253095626831","1.860253095626831","1.860253095626831","2.018031120300293","2.018031120300293","2.018031120300293","2.0926995277404785","2.0926995277404785","2.0926995277404785","1.7538214921951294","1.7538214921951294","1.7538214921951294","2.3032290935516357","2.3032290935516357","2.3032290935516357","1.8995614051818848","1.8995614051818848","1.8995614051818848","","",""
"124","1.7350952625274658","1.7350952625274658","1.7350952625274658","1.6895455121994019","1.6895455121994019","1.6895455121994019","1.6419060230255127","1.6419060230255127","1.6419060230255127","1.6449114084243774","1.6449114084243774","1.6449114084243774","1.6940234899520874","1.6940234899520874","1.6940234899520874","1.8255864381790161","1.8255864381790161","1.8255864381790161","1.5826597213745117","1.5826597213745117","1.5826597213745117","2.3031938076019287","2.3031938076019287","2.3031938076019287","1.686915636062622","1.686915636062622","1.686915636062622","","",""
"155","1.5639878511428833","1.5639878511428833","1.5639878511428833","1.5525444746017456","1.5525444746017456","1.5525444746017456","1.501181960105896","1.501181960105896","1.501181960105896","1.535907506942749","1.535907506942749","1.535907506942749","1.5435725450515747","1.5435725450515747","1.5435725450515747","1.6296987533569336","1.6296987533569336","1.6296987533569336","1.4725254774093628","1.4725254774093628","1.4725254774093628","","","","1.5462234020233154","1.5462234020233154","1.5462234020233154","","",""
