"Step","stoic-sweep-10 - train_acc_epoch","stoic-sweep-10 - train_acc_epoch__MIN","stoic-sweep-10 - train_acc_epoch__MAX","wobbly-sweep-9 - train_acc_epoch","wobbly-sweep-9 - train_acc_epoch__MIN","wobbly-sweep-9 - train_acc_epoch__MAX","different-sweep-8 - train_acc_epoch","different-sweep-8 - train_acc_epoch__MIN","different-sweep-8 - train_acc_epoch__MAX","fresh-sweep-7 - train_acc_epoch","fresh-sweep-7 - train_acc_epoch__MIN","fresh-sweep-7 - train_acc_epoch__MAX","vague-sweep-6 - train_acc_epoch","vague-sweep-6 - train_acc_epoch__MIN","vague-sweep-6 - train_acc_epoch__MAX","autumn-sweep-5 - train_acc_epoch","autumn-sweep-5 - train_acc_epoch__MIN","autumn-sweep-5 - train_acc_epoch__MAX","peachy-sweep-4 - train_acc_epoch","peachy-sweep-4 - train_acc_epoch__MIN","peachy-sweep-4 - train_acc_epoch__MAX","resilient-sweep-3 - train_acc_epoch","resilient-sweep-3 - train_acc_epoch__MIN","resilient-sweep-3 - train_acc_epoch__MAX","crimson-sweep-2 - train_acc_epoch","crimson-sweep-2 - train_acc_epoch__MIN","crimson-sweep-2 - train_acc_epoch__MAX","legendary-sweep-1 - train_acc_epoch","legendary-sweep-1 - train_acc_epoch__MIN","legendary-sweep-1 - train_acc_epoch__MAX"
"17","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.09982222318649292","0.09982222318649292","0.09982222318649292"
"31","0.11188888549804688","0.11188888549804688","0.11188888549804688","0.1077333316206932","0.1077333316206932","0.1077333316206932","0.11879999935626984","0.11879999935626984","0.11879999935626984","0.12035555392503738","0.12035555392503738","0.12035555392503738","0.10346666723489761","0.10346666723489761","0.10346666723489761","0.10248889029026031","0.10248889029026031","0.10248889029026031","0.10520000010728836","0.10520000010728836","0.10520000010728836","0.10019999742507935","0.10019999742507935","0.10019999742507935","0.11508888751268387","0.11508888751268387","0.11508888751268387","","",""
"34","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.09982222318649292","0.09982222318649292","0.09982222318649292"
"51","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.09982222318649292","0.09982222318649292","0.09982222318649292"
"62","0.1817999929189682","0.1817999929189682","0.1817999929189682","0.1738666594028473","0.1738666594028473","0.1738666594028473","0.20946666598320007","0.20946666598320007","0.20946666598320007","0.2066444456577301","0.2066444456577301","0.2066444456577301","0.15139999985694885","0.15139999985694885","0.15139999985694885","0.13464444875717163","0.13464444875717163","0.13464444875717163","0.24075555801391602","0.24075555801391602","0.24075555801391602","0.10019999742507935","0.10019999742507935","0.10019999742507935","0.16182222962379456","0.16182222962379456","0.16182222962379456","","",""
"68","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.09982222318649292","0.09982222318649292","0.09982222318649292"
"93","0.28611111640930176","0.28611111640930176","0.28611111640930176","0.30257776379585266","0.30257776379585266","0.30257776379585266","0.3186444342136383","0.3186444342136383","0.3186444342136383","0.3276222348213196","0.3276222348213196","0.3276222348213196","0.2641555666923523","0.2641555666923523","0.2641555666923523","0.23680000007152557","0.23680000007152557","0.23680000007152557","0.36231112480163574","0.36231112480163574","0.36231112480163574","0.10019999742507935","0.10019999742507935","0.10019999742507935","0.31217777729034424","0.31217777729034424","0.31217777729034424","","",""
"124","0.3652222156524658","0.3652222156524658","0.3652222156524658","0.3851333260536194","0.3851333260536194","0.3851333260536194","0.40417778491973877","0.40417778491973877","0.40417778491973877","0.4011777639389038","0.4011777639389038","0.4011777639389038","0.37993332743644714","0.37993332743644714","0.37993332743644714","0.3399333357810974","0.3399333357810974","0.3399333357810974","0.4171777665615082","0.4171777665615082","0.4171777665615082","0.10019999742507935","0.10019999742507935","0.10019999742507935","0.3857555687427521","0.3857555687427521","0.3857555687427521","","",""
"155","0.4296444356441498","0.4296444356441498","0.4296444356441498","0.42755556106567383","0.42755556106567383","0.42755556106567383","0.4543111026287079","0.4543111026287079","0.4543111026287079","0.4381333291530609","0.4381333291530609","0.4381333291530609","0.4329777657985687","0.4329777657985687","0.4329777657985687","0.4083999991416931","0.4083999991416931","0.4083999991416931","0.4652000069618225","0.4652000069618225","0.4652000069618225","","","","0.4304666519165039","0.4304666519165039","0.4304666519165039","","",""
