"Step","stoic-sweep-10 - train_acc_step","stoic-sweep-10 - train_acc_step__MIN","stoic-sweep-10 - train_acc_step__MAX","wobbly-sweep-9 - train_acc_step","wobbly-sweep-9 - train_acc_step__MIN","wobbly-sweep-9 - train_acc_step__MAX","different-sweep-8 - train_acc_step","different-sweep-8 - train_acc_step__MIN","different-sweep-8 - train_acc_step__MAX","fresh-sweep-7 - train_acc_step","fresh-sweep-7 - train_acc_step__MIN","fresh-sweep-7 - train_acc_step__MAX","vague-sweep-6 - train_acc_step","vague-sweep-6 - train_acc_step__MIN","vague-sweep-6 - train_acc_step__MAX","autumn-sweep-5 - train_acc_step","autumn-sweep-5 - train_acc_step__MIN","autumn-sweep-5 - train_acc_step__MAX","peachy-sweep-4 - train_acc_step","peachy-sweep-4 - train_acc_step__MIN","peachy-sweep-4 - train_acc_step__MAX","resilient-sweep-3 - train_acc_step","resilient-sweep-3 - train_acc_step__MIN","resilient-sweep-3 - train_acc_step__MAX","crimson-sweep-2 - train_acc_step","crimson-sweep-2 - train_acc_step__MIN","crimson-sweep-2 - train_acc_step__MAX","legendary-sweep-1 - train_acc_step","legendary-sweep-1 - train_acc_step__MIN","legendary-sweep-1 - train_acc_step__MAX"
"19","0.09375","0.09375","0.09375","0.09375","0.09375","0.09375","0.09375","0.09375","0.09375","0.0625","0.0625","0.0625","0.09375","0.09375","0.09375","0.125","0.125","0.125","0.09375","0.09375","0.09375","0.0625","0.0625","0.0625","0.1875","0.1875","0.1875","0.046875","0.046875","0.046875"
"20","0.125","0.125","0.125","0.0625","0.0625","0.0625","0.03125","0.03125","0.03125","0.125","0.125","0.125","0.1875","0.1875","0.1875","0.125","0.125","0.125","0.15625","0.15625","0.15625","0.15625","0.15625","0.15625","0.15625","0.15625","0.15625","0.09375","0.09375","0.09375"
"21","0.0625","0.0625","0.0625","0.15625","0.15625","0.15625","0.03125","0.03125","0.03125","0.0625","0.0625","0.0625","0.1875","0.1875","0.1875","0.125","0.125","0.125","0.0625","0.0625","0.0625","0.125","0.125","0.125","0.1875","0.1875","0.1875","0.0625","0.0625","0.0625"
"22","0.125","0.125","0.125","0.09375","0.09375","0.09375","0.125","0.125","0.125","0.125","0.125","0.125","0.1875","0.1875","0.1875","0.09375","0.09375","0.09375","0.21875","0.21875","0.21875","0.15625","0.15625","0.15625","0.1875","0.1875","0.1875","0.109375","0.109375","0.109375"
"23","0.0625","0.0625","0.0625","0.0625","0.0625","0.0625","0.25","0.25","0.25","0.125","0.125","0.125","0.125","0.125","0.125","0.1875","0.1875","0.1875","0.15625","0.15625","0.15625","0.09375","0.09375","0.09375","0.21875","0.21875","0.21875","0.109375","0.109375","0.109375"
"24","0.15625","0.15625","0.15625","0.0625","0.0625","0.0625","0.0625","0.0625","0.0625","0.21875","0.21875","0.21875","0.125","0.125","0.125","0.15625","0.15625","0.15625","0.125","0.125","0.125","0.03125","0.03125","0.03125","0.25","0.25","0.25","0.078125","0.078125","0.078125"
"25","0.28125","0.28125","0.28125","0.0625","0.0625","0.0625","0.09375","0.09375","0.09375","0.21875","0.21875","0.21875","0.09375","0.09375","0.09375","0","0","0","0.09375","0.09375","0.09375","0.0625","0.0625","0.0625","0.0625","0.0625","0.0625","0.078125","0.078125","0.078125"
"26","0.25","0.25","0.25","0.15625","0.15625","0.15625","0.15625","0.15625","0.15625","0.0625","0.0625","0.0625","0.03125","0.03125","0.03125","0.125","0.125","0.125","0.15625","0.15625","0.15625","0.0625","0.0625","0.0625","0.125","0.125","0.125","0.0625","0.0625","0.0625"
"27","0.21875","0.21875","0.21875","0.0625","0.0625","0.0625","0.1875","0.1875","0.1875","0.28125","0.28125","0.28125","0.15625","0.15625","0.15625","0.0625","0.0625","0.0625","0.1875","0.1875","0.1875","0.0625","0.0625","0.0625","0.15625","0.15625","0.15625","0.171875","0.171875","0.171875"
"28","0.1875","0.1875","0.1875","0.25","0.25","0.25","0.1875","0.1875","0.1875","0.15625","0.15625","0.15625","0.21875","0.21875","0.21875","0.09375","0.09375","0.09375","0.125","0.125","0.125","0.09375","0.09375","0.09375","0.15625","0.15625","0.15625","0.15625","0.15625","0.15625"
"29","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.125","0.125","0.125"
"30","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.109375","0.109375","0.109375"
"31","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.125","0.125","0.125"
"32","0.1875","0.1875","0.1875","0.1875","0.1875","0.1875","0.125","0.125","0.125","0.15625","0.15625","0.15625","0.125","0.125","0.125","0.15625","0.15625","0.15625","0.28125","0.28125","0.28125","0.125","0.125","0.125","0.09375","0.09375","0.09375","","",""
"33","0.09375","0.09375","0.09375","0.09375","0.09375","0.09375","0.21875","0.21875","0.21875","0.09375","0.09375","0.09375","0.125","0.125","0.125","0.09375","0.09375","0.09375","0.21875","0.21875","0.21875","0.15625","0.15625","0.15625","0.0625","0.0625","0.0625","","",""
"34","0.15625","0.15625","0.15625","0.15625","0.15625","0.15625","0.125","0.125","0.125","0.09375","0.09375","0.09375","0.09375","0.09375","0.09375","0.125","0.125","0.125","0.21875","0.21875","0.21875","0.125","0.125","0.125","0","0","0","","",""
"35","0.09375","0.09375","0.09375","0.03125","0.03125","0.03125","0.1875","0.1875","0.1875","0.25","0.25","0.25","0","0","0","0.09375","0.09375","0.09375","0.1875","0.1875","0.1875","0.09375","0.09375","0.09375","0.09375","0.09375","0.09375","0.09375","0.09375","0.09375"
"36","0.21875","0.21875","0.21875","0.09375","0.09375","0.09375","0.15625","0.15625","0.15625","0.1875","0.1875","0.1875","0.09375","0.09375","0.09375","0.15625","0.15625","0.15625","0.125","0.125","0.125","0.15625","0.15625","0.15625","0.125","0.125","0.125","0.078125","0.078125","0.078125"
"37","0.15625","0.15625","0.15625","0.125","0.125","0.125","0.25","0.25","0.25","0.25","0.25","0.25","0.1875","0.1875","0.1875","0.03125","0.03125","0.03125","0.25","0.25","0.25","0.3125","0.3125","0.3125","0.15625","0.15625","0.15625","0.140625","0.140625","0.140625"
"38","0.1875","0.1875","0.1875","0.125","0.125","0.125","0.1875","0.1875","0.1875","0.03125","0.03125","0.03125","0.0625","0.0625","0.0625","0.15625","0.15625","0.15625","0.09375","0.09375","0.09375","0.125","0.125","0.125","0.21875","0.21875","0.21875","0.109375","0.109375","0.109375"
"39","0.0625","0.0625","0.0625","0.03125","0.03125","0.03125","0.09375","0.09375","0.09375","0.1875","0.1875","0.1875","0.09375","0.09375","0.09375","0.09375","0.09375","0.09375","0.125","0.125","0.125","0.03125","0.03125","0.03125","0","0","0","0.109375","0.109375","0.109375"
"40","0.15625","0.15625","0.15625","0.21875","0.21875","0.21875","0.15625","0.15625","0.15625","0.15625","0.15625","0.15625","0.09375","0.09375","0.09375","0.03125","0.03125","0.03125","0.25","0.25","0.25","0.0625","0.0625","0.0625","0.125","0.125","0.125","0.109375","0.109375","0.109375"
"41","0.15625","0.15625","0.15625","0.28125","0.28125","0.28125","0.34375","0.34375","0.34375","0.25","0.25","0.25","0.15625","0.15625","0.15625","0.09375","0.09375","0.09375","0.21875","0.21875","0.21875","0.09375","0.09375","0.09375","0.28125","0.28125","0.28125","0.0625","0.0625","0.0625"
"42","0.1875","0.1875","0.1875","0.3125","0.3125","0.3125","0.25","0.25","0.25","0.3125","0.3125","0.3125","0.09375","0.09375","0.09375","0.21875","0.21875","0.21875","0.21875","0.21875","0.21875","0.03125","0.03125","0.03125","0.15625","0.15625","0.15625","0.140625","0.140625","0.140625"
"43","0.09375","0.09375","0.09375","0.21875","0.21875","0.21875","0.21875","0.21875","0.21875","0.1875","0.1875","0.1875","0.15625","0.15625","0.15625","0.0625","0.0625","0.0625","0.1875","0.1875","0.1875","0.0625","0.0625","0.0625","0.125","0.125","0.125","0.0625","0.0625","0.0625"
"44","0.3125","0.3125","0.3125","0.125","0.125","0.125","0.3125","0.3125","0.3125","0.21875","0.21875","0.21875","0.15625","0.15625","0.15625","0.15625","0.15625","0.15625","0.34375","0.34375","0.34375","0","0","0","0.03125","0.03125","0.03125","0.171875","0.171875","0.171875"
"45","0.1875","0.1875","0.1875","0.125","0.125","0.125","0.28125","0.28125","0.28125","0.125","0.125","0.125","0.125","0.125","0.125","0.0625","0.0625","0.0625","0.09375","0.09375","0.09375","0.15625","0.15625","0.15625","0.03125","0.03125","0.03125","0.09375","0.09375","0.09375"
"46","0.1875","0.1875","0.1875","0.15625","0.15625","0.15625","0.0625","0.0625","0.0625","0.125","0.125","0.125","0.125","0.125","0.125","0.125","0.125","0.125","0.1875","0.1875","0.1875","0.15625","0.15625","0.15625","0.25","0.25","0.25","0.171875","0.171875","0.171875"
"47","0.1875","0.1875","0.1875","0.15625","0.15625","0.15625","0.25","0.25","0.25","0.15625","0.15625","0.15625","0.3125","0.3125","0.3125","0.125","0.125","0.125","0.28125","0.28125","0.28125","0","0","0","0.25","0.25","0.25","0.1875","0.1875","0.1875"
"48","0.21875","0.21875","0.21875","0.15625","0.15625","0.15625","0.0625","0.0625","0.0625","0.28125","0.28125","0.28125","0.28125","0.28125","0.28125","0.21875","0.21875","0.21875","0.28125","0.28125","0.28125","0.1875","0.1875","0.1875","0.15625","0.15625","0.15625","0.078125","0.078125","0.078125"
"49","0.15625","0.15625","0.15625","0.1875","0.1875","0.1875","0.25","0.25","0.25","0.28125","0.28125","0.28125","0.125","0.125","0.125","0.15625","0.15625","0.15625","0.3125","0.3125","0.3125","0.09375","0.09375","0.09375","0.15625","0.15625","0.15625","","",""
"50","0.28125","0.28125","0.28125","0.21875","0.21875","0.21875","0.21875","0.21875","0.21875","0.34375","0.34375","0.34375","0.09375","0.09375","0.09375","0.1875","0.1875","0.1875","0.15625","0.15625","0.15625","0.0625","0.0625","0.0625","0.15625","0.15625","0.15625","","",""
"51","0.15625","0.15625","0.15625","0.3125","0.3125","0.3125","0.09375","0.09375","0.09375","0.28125","0.28125","0.28125","0.1875","0.1875","0.1875","0.125","0.125","0.125","0.3125","0.3125","0.3125","0.125","0.125","0.125","0.15625","0.15625","0.15625","","",""
"52","0.21875","0.21875","0.21875","0.09375","0.09375","0.09375","0.1875","0.1875","0.1875","0.28125","0.28125","0.28125","0.21875","0.21875","0.21875","0.1875","0.1875","0.1875","0.375","0.375","0.375","0.125","0.125","0.125","0.1875","0.1875","0.1875","0.109375","0.109375","0.109375"
