"Step","stoic-sweep-10 - train_acc_step","stoic-sweep-10 - train_acc_step__MIN","stoic-sweep-10 - train_acc_step__MAX","wobbly-sweep-9 - train_acc_step","wobbly-sweep-9 - train_acc_step__MIN","wobbly-sweep-9 - train_acc_step__MAX","different-sweep-8 - train_acc_step","different-sweep-8 - train_acc_step__MIN","different-sweep-8 - train_acc_step__MAX","fresh-sweep-7 - train_acc_step","fresh-sweep-7 - train_acc_step__MIN","fresh-sweep-7 - train_acc_step__MAX","vague-sweep-6 - train_acc_step","vague-sweep-6 - train_acc_step__MIN","vague-sweep-6 - train_acc_step__MAX","autumn-sweep-5 - train_acc_step","autumn-sweep-5 - train_acc_step__MIN","autumn-sweep-5 - train_acc_step__MAX","peachy-sweep-4 - train_acc_step","peachy-sweep-4 - train_acc_step__MIN","peachy-sweep-4 - train_acc_step__MAX","resilient-sweep-3 - train_acc_step","resilient-sweep-3 - train_acc_step__MIN","resilient-sweep-3 - train_acc_step__MAX","crimson-sweep-2 - train_acc_step","crimson-sweep-2 - train_acc_step__MIN","crimson-sweep-2 - train_acc_step__MAX","legendary-sweep-1 - train_acc_step","legendary-sweep-1 - train_acc_step__MIN","legendary-sweep-1 - train_acc_step__MAX"
"73","0.25","0.25","0.25","0.375","0.375","0.375","0.28125","0.28125","0.28125","0.25","0.25","0.25","0.09375","0.09375","0.09375","0.1875","0.1875","0.1875","0.21875","0.21875","0.21875","0.15625","0.15625","0.15625","0.28125","0.28125","0.28125","","",""
"74","0.28125","0.28125","0.28125","0.34375","0.34375","0.34375","0.53125","0.53125","0.53125","0.3125","0.3125","0.3125","0.28125","0.28125","0.28125","0.25","0.25","0.25","0.5","0.5","0.5","0.1875","0.1875","0.1875","0.25","0.25","0.25","","",""
"75","0.3125","0.3125","0.3125","0.25","0.25","0.25","0.25","0.25","0.25","0.25","0.25","0.25","0.28125","0.28125","0.28125","0.40625","0.40625","0.40625","0.46875","0.46875","0.46875","0.0625","0.0625","0.0625","0.25","0.25","0.25","","",""
"76","0.1875","0.1875","0.1875","0.21875","0.21875","0.21875","0.34375","0.34375","0.34375","0.5","0.5","0.5","0.28125","0.28125","0.28125","0.28125","0.28125","0.28125","0.375","0.375","0.375","0.09375","0.09375","0.09375","0.34375","0.34375","0.34375","","",""
"77","0.4375","0.4375","0.4375","0.34375","0.34375","0.34375","0.3125","0.3125","0.3125","0.21875","0.21875","0.21875","0.15625","0.15625","0.15625","0.34375","0.34375","0.34375","0.25","0.25","0.25","0.09375","0.09375","0.09375","0.1875","0.1875","0.1875","","",""
"78","0.25","0.25","0.25","0.34375","0.34375","0.34375","0.34375","0.34375","0.34375","0.375","0.375","0.375","0.34375","0.34375","0.34375","0.21875","0.21875","0.21875","0.28125","0.28125","0.28125","0.125","0.125","0.125","0.40625","0.40625","0.40625","","",""
"79","0.1875","0.1875","0.1875","0.3125","0.3125","0.3125","0.3125","0.3125","0.3125","0.40625","0.40625","0.40625","0.25","0.25","0.25","0.21875","0.21875","0.21875","0.34375","0.34375","0.34375","0.15625","0.15625","0.15625","0.25","0.25","0.25","","",""
"80","0.375","0.375","0.375","0.25","0.25","0.25","0.25","0.25","0.25","0.28125","0.28125","0.28125","0.28125","0.28125","0.28125","0.3125","0.3125","0.3125","0.28125","0.28125","0.28125","0.0625","0.0625","0.0625","0.34375","0.34375","0.34375","","",""
"81","0.3125","0.3125","0.3125","0.21875","0.21875","0.21875","0.21875","0.21875","0.21875","0.25","0.25","0.25","0.21875","0.21875","0.21875","0.3125","0.3125","0.3125","0.375","0.375","0.375","0.03125","0.03125","0.03125","0.28125","0.28125","0.28125","","",""
"82","0.34375","0.34375","0.34375","0.46875","0.46875","0.46875","0.40625","0.40625","0.40625","0.375","0.375","0.375","0.25","0.25","0.25","0.375","0.375","0.375","0.53125","0.53125","0.53125","0.03125","0.03125","0.03125","0.34375","0.34375","0.34375","","",""
"83","0.3125","0.3125","0.3125","0.25","0.25","0.25","0.34375","0.34375","0.34375","0.40625","0.40625","0.40625","0.25","0.25","0.25","0.28125","0.28125","0.28125","0.46875","0.46875","0.46875","0.0625","0.0625","0.0625","0.40625","0.40625","0.40625","","",""
"84","0.3125","0.3125","0.3125","0.21875","0.21875","0.21875","0.3125","0.3125","0.3125","0.28125","0.28125","0.28125","0.34375","0.34375","0.34375","0.15625","0.15625","0.15625","0.5","0.5","0.5","0.1875","0.1875","0.1875","0.34375","0.34375","0.34375","","",""
"85","0.25","0.25","0.25","0.34375","0.34375","0.34375","0.15625","0.15625","0.15625","0.28125","0.28125","0.28125","0.3125","0.3125","0.3125","0.25","0.25","0.25","0.4375","0.4375","0.4375","0.1875","0.1875","0.1875","0.375","0.375","0.375","","",""
"86","0.34375","0.34375","0.34375","0.34375","0.34375","0.34375","0.375","0.375","0.375","0.46875","0.46875","0.46875","0.1875","0.1875","0.1875","0.21875","0.21875","0.21875","0.40625","0.40625","0.40625","0.09375","0.09375","0.09375","0.375","0.375","0.375","","",""
"87","0.28125","0.28125","0.28125","0.375","0.375","0.375","0.28125","0.28125","0.28125","0.21875","0.21875","0.21875","0.25","0.25","0.25","0.28125","0.28125","0.28125","0.375","0.375","0.375","0.09375","0.09375","0.09375","0.28125","0.28125","0.28125","","",""
"88","0.34375","0.34375","0.34375","0.34375","0.34375","0.34375","0.46875","0.46875","0.46875","0.375","0.375","0.375","0.34375","0.34375","0.34375","0.28125","0.28125","0.28125","0.3125","0.3125","0.3125","0.0625","0.0625","0.0625","0.34375","0.34375","0.34375","","",""
"89","0.40625","0.40625","0.40625","0.5","0.5","0.5","0.28125","0.28125","0.28125","0.3125","0.3125","0.3125","0.3125","0.3125","0.3125","0.28125","0.28125","0.28125","0.375","0.375","0.375","0.09375","0.09375","0.09375","0.28125","0.28125","0.28125","","",""
"90","0.3125","0.3125","0.3125","0.4375","0.4375","0.4375","0.40625","0.40625","0.40625","0.375","0.375","0.375","0.375","0.375","0.375","0.21875","0.21875","0.21875","0.40625","0.40625","0.40625","0.0625","0.0625","0.0625","0.34375","0.34375","0.34375","","",""
"94","0.5","0.5","0.5","0.59375","0.59375","0.59375","0.40625","0.40625","0.40625","0.46875","0.46875","0.46875","0.375","0.375","0.375","0.34375","0.34375","0.34375","0.53125","0.53125","0.53125","0","0","0","0.375","0.375","0.375","","",""
"95","0.25","0.25","0.25","0.3125","0.3125","0.3125","0.53125","0.53125","0.53125","0.375","0.375","0.375","0.4375","0.4375","0.4375","0.3125","0.3125","0.3125","0.21875","0.21875","0.21875","0.09375","0.09375","0.09375","0.34375","0.34375","0.34375","","",""
"96","0.28125","0.28125","0.28125","0.28125","0.28125","0.28125","0.1875","0.1875","0.1875","0.46875","0.46875","0.46875","0.5","0.5","0.5","0.40625","0.40625","0.40625","0.28125","0.28125","0.28125","0.09375","0.09375","0.09375","0.375","0.375","0.375","","",""
"97","0.25","0.25","0.25","0.34375","0.34375","0.34375","0.25","0.25","0.25","0.40625","0.40625","0.40625","0.21875","0.21875","0.21875","0.34375","0.34375","0.34375","0.3125","0.3125","0.3125","0.09375","0.09375","0.09375","0.34375","0.34375","0.34375","","",""
"98","0.21875","0.21875","0.21875","0.25","0.25","0.25","0.34375","0.34375","0.34375","0.3125","0.3125","0.3125","0.46875","0.46875","0.46875","0.40625","0.40625","0.40625","0.34375","0.34375","0.34375","0","0","0","0.3125","0.3125","0.3125","","",""
"99","0.28125","0.28125","0.28125","0.59375","0.59375","0.59375","0.40625","0.40625","0.40625","0.375","0.375","0.375","0.25","0.25","0.25","0.40625","0.40625","0.40625","0.375","0.375","0.375","0.1875","0.1875","0.1875","0.40625","0.40625","0.40625","","",""
"100","0.3125","0.3125","0.3125","0.40625","0.40625","0.40625","0.34375","0.34375","0.34375","0.3125","0.3125","0.3125","0.1875","0.1875","0.1875","0.1875","0.1875","0.1875","0.375","0.375","0.375","0.15625","0.15625","0.15625","0.375","0.375","0.375","","",""
"101","0.28125","0.28125","0.28125","0.1875","0.1875","0.1875","0.53125","0.53125","0.53125","0.40625","0.40625","0.40625","0.625","0.625","0.625","0.25","0.25","0.25","0.3125","0.3125","0.3125","0.03125","0.03125","0.03125","0.46875","0.46875","0.46875","","",""
"102","0.3125","0.3125","0.3125","0.28125","0.28125","0.28125","0.34375","0.34375","0.34375","0.34375","0.34375","0.34375","0.21875","0.21875","0.21875","0.28125","0.28125","0.28125","0.53125","0.53125","0.53125","0.0625","0.0625","0.0625","0.1875","0.1875","0.1875","","",""
"103","0.34375","0.34375","0.34375","0.53125","0.53125","0.53125","0.28125","0.28125","0.28125","0.40625","0.40625","0.40625","0.53125","0.53125","0.53125","0.25","0.25","0.25","0.40625","0.40625","0.40625","0.0625","0.0625","0.0625","0.5625","0.5625","0.5625","","",""
"104","0.4375","0.4375","0.4375","0.21875","0.21875","0.21875","0.46875","0.46875","0.46875","0.28125","0.28125","0.28125","0.28125","0.28125","0.28125","0.28125","0.28125","0.28125","0.28125","0.28125","0.28125","0.09375","0.09375","0.09375","0.3125","0.3125","0.3125","","",""
"105","0.40625","0.40625","0.40625","0.3125","0.3125","0.3125","0.46875","0.46875","0.46875","0.46875","0.46875","0.46875","0.28125","0.28125","0.28125","0.28125","0.28125","0.28125","0.40625","0.40625","0.40625","0.15625","0.15625","0.15625","0.5","0.5","0.5","","",""
"106","0.21875","0.21875","0.21875","0.375","0.375","0.375","0.59375","0.59375","0.59375","0.40625","0.40625","0.40625","0.3125","0.3125","0.3125","0.25","0.25","0.25","0.46875","0.46875","0.46875","0.125","0.125","0.125","0.375","0.375","0.375","","",""
"107","0.4375","0.4375","0.4375","0.28125","0.28125","0.28125","0.53125","0.53125","0.53125","0.34375","0.34375","0.34375","0.40625","0.40625","0.40625","0.28125","0.28125","0.28125","0.34375","0.34375","0.34375","0.1875","0.1875","0.1875","0.34375","0.34375","0.34375","","",""
"108","0.46875","0.46875","0.46875","0.3125","0.3125","0.3125","0.34375","0.34375","0.34375","0.34375","0.34375","0.34375","0.28125","0.28125","0.28125","0.46875","0.46875","0.46875","0.40625","0.40625","0.40625","0.125","0.125","0.125","0.375","0.375","0.375","","",""
"109","0.4375","0.4375","0.4375","0.28125","0.28125","0.28125","0.25","0.25","0.25","0.5","0.5","0.5","0.34375","0.34375","0.34375","0.40625","0.40625","0.40625","0.40625","0.40625","0.40625","0.0625","0.0625","0.0625","0.40625","0.40625","0.40625","","",""
"110","0.25","0.25","0.25","0.375","0.375","0.375","0.46875","0.46875","0.46875","0.375","0.375","0.375","0.34375","0.34375","0.34375","0.3125","0.3125","0.3125","0.375","0.375","0.375","0.03125","0.03125","0.03125","0.28125","0.28125","0.28125","","",""
"111","0.40625","0.40625","0.40625","0.375","0.375","0.375","0.21875","0.21875","0.21875","0.3125","0.3125","0.3125","0.46875","0.46875","0.46875","0.46875","0.46875","0.46875","0.3125","0.3125","0.3125","0.1875","0.1875","0.1875","0.34375","0.34375","0.34375","","",""
"112","0.3125","0.3125","0.3125","0.4375","0.4375","0.4375","0.46875","0.46875","0.46875","0.40625","0.40625","0.40625","0.25","0.25","0.25","0.3125","0.3125","0.3125","0.46875","0.46875","0.46875","0.125","0.125","0.125","0.3125","0.3125","0.3125","","",""
"113","0.375","0.375","0.375","0.375","0.375","0.375","0.4375","0.4375","0.4375","0.375","0.375","0.375","0.34375","0.34375","0.34375","0.375","0.375","0.375","0.4375","0.4375","0.4375","0.15625","0.15625","0.15625","0.3125","0.3125","0.3125","","",""
"114","0.53125","0.53125","0.53125","0.375","0.375","0.375","0.59375","0.59375","0.59375","0.21875","0.21875","0.21875","0.25","0.25","0.25","0.40625","0.40625","0.40625","0.40625","0.40625","0.40625","0.09375","0.09375","0.09375","0.375","0.375","0.375","","",""
"115","0.375","0.375","0.375","0.375","0.375","0.375","0.5","0.5","0.5","0.375","0.375","0.375","0.46875","0.46875","0.46875","0.5","0.5","0.5","0.46875","0.46875","0.46875","0.125","0.125","0.125","0.28125","0.28125","0.28125","","",""
"116","0.40625","0.40625","0.40625","0.40625","0.40625","0.40625","0.34375","0.34375","0.34375","0.53125","0.53125","0.53125","0.53125","0.53125","0.53125","0.4375","0.4375","0.4375","0.4375","0.4375","0.4375","0.0625","0.0625","0.0625","0.375","0.375","0.375","","",""
"117","0.3125","0.3125","0.3125","0.40625","0.40625","0.40625","0.28125","0.28125","0.28125","0.375","0.375","0.375","0.3125","0.3125","0.3125","0.34375","0.34375","0.34375","0.46875","0.46875","0.46875","0","0","0","0.5625","0.5625","0.5625","","",""
"118","0.3125","0.3125","0.3125","0.46875","0.46875","0.46875","0.3125","0.3125","0.3125","0.3125","0.3125","0.3125","0.375","0.375","0.375","0.25","0.25","0.25","0.4375","0.4375","0.4375","0.125","0.125","0.125","0.4375","0.4375","0.4375","","",""
"119","0.21875","0.21875","0.21875","0.34375","0.34375","0.34375","0.375","0.375","0.375","0.4375","0.4375","0.4375","0.46875","0.46875","0.46875","0.375","0.375","0.375","0.34375","0.34375","0.34375","0.0625","0.0625","0.0625","0.46875","0.46875","0.46875","","",""
"120","0.40625","0.40625","0.40625","0.46875","0.46875","0.46875","0.5","0.5","0.5","0.46875","0.46875","0.46875","0.40625","0.40625","0.40625","0.40625","0.40625","0.40625","0.53125","0.53125","0.53125","0.15625","0.15625","0.15625","0.28125","0.28125","0.28125","","",""
"121","0.4375","0.4375","0.4375","0.4375","0.4375","0.4375","0.4375","0.4375","0.4375","0.40625","0.40625","0.40625","0.4375","0.4375","0.4375","0.34375","0.34375","0.34375","0.4375","0.4375","0.4375","0.09375","0.09375","0.09375","0.3125","0.3125","0.3125","","",""
"125","0.4375","0.4375","0.4375","0.34375","0.34375","0.34375","0.40625","0.40625","0.40625","0.5","0.5","0.5","0.40625","0.40625","0.40625","0.25","0.25","0.25","0.625","0.625","0.625","","","","0.40625","0.40625","0.40625","","",""
"126","0.375","0.375","0.375","0.53125","0.53125","0.53125","0.46875","0.46875","0.46875","0.46875","0.46875","0.46875","0.65625","0.65625","0.65625","0.375","0.375","0.375","0.375","0.375","0.375","","","","0.4375","0.4375","0.4375","","",""
"127","0.4375","0.4375","0.4375","0.4375","0.4375","0.4375","0.5","0.5","0.5","0.3125","0.3125","0.3125","0.40625","0.40625","0.40625","0.4375","0.4375","0.4375","0.25","0.25","0.25","","","","0.5","0.5","0.5","","",""
"128","0.5","0.5","0.5","0.4375","0.4375","0.4375","0.375","0.375","0.375","0.53125","0.53125","0.53125","0.40625","0.40625","0.40625","0.40625","0.40625","0.40625","0.46875","0.46875","0.46875","","","","0.375","0.375","0.375","","",""
"129","0.46875","0.46875","0.46875","0.375","0.375","0.375","0.40625","0.40625","0.40625","0.59375","0.59375","0.59375","0.46875","0.46875","0.46875","0.34375","0.34375","0.34375","0.5625","0.5625","0.5625","","","","0.5","0.5","0.5","","",""
"130","0.46875","0.46875","0.46875","0.46875","0.46875","0.46875","0.5","0.5","0.5","0.46875","0.46875","0.46875","0.59375","0.59375","0.59375","0.4375","0.4375","0.4375","0.46875","0.46875","0.46875","","","","0.4375","0.4375","0.4375","","",""
"131","0.25","0.25","0.25","0.4375","0.4375","0.4375","0.40625","0.40625","0.40625","0.25","0.25","0.25","0.3125","0.3125","0.3125","0.46875","0.46875","0.46875","0.53125","0.53125","0.53125","","","","0.46875","0.46875","0.46875","","",""
"132","0.375","0.375","0.375","0.375","0.375","0.375","0.4375","0.4375","0.4375","0.46875","0.46875","0.46875","0.625","0.625","0.625","0.4375","0.4375","0.4375","0.40625","0.40625","0.40625","","","","0.40625","0.40625","0.40625","","",""
"133","0.34375","0.34375","0.34375","0.5","0.5","0.5","0.4375","0.4375","0.4375","0.40625","0.40625","0.40625","0.375","0.375","0.375","0.34375","0.34375","0.34375","0.4375","0.4375","0.4375","","","","0.625","0.625","0.625","","",""
"134","0.375","0.375","0.375","0.46875","0.46875","0.46875","0.375","0.375","0.375","0.5","0.5","0.5","0.46875","0.46875","0.46875","0.34375","0.34375","0.34375","0.40625","0.40625","0.40625","","","","0.34375","0.34375","0.34375","","",""
"135","0.5","0.5","0.5","0.375","0.375","0.375","0.46875","0.46875","0.46875","0.625","0.625","0.625","0.375","0.375","0.375","0.5","0.5","0.5","0.40625","0.40625","0.40625","","","","0.3125","0.3125","0.3125","","",""
"136","0.53125","0.53125","0.53125","0.4375","0.4375","0.4375","0.34375","0.34375","0.34375","0.34375","0.34375","0.34375","0.625","0.625","0.625","0.34375","0.34375","0.34375","0.59375","0.59375","0.59375","","","","0.21875","0.21875","0.21875","","",""
"137","0.34375","0.34375","0.34375","0.34375","0.34375","0.34375","0.5625","0.5625","0.5625","0.6875","0.6875","0.6875","0.53125","0.53125","0.53125","0.46875","0.46875","0.46875","0.5","0.5","0.5","","","","0.625","0.625","0.625","","",""
"138","0.40625","0.40625","0.40625","0.46875","0.46875","0.46875","0.59375","0.59375","0.59375","0.4375","0.4375","0.4375","0.375","0.375","0.375","0.5","0.5","0.5","0.34375","0.34375","0.34375","","","","0.5","0.5","0.5","","",""
"139","0.3125","0.3125","0.3125","0.34375","0.34375","0.34375","0.375","0.375","0.375","0.4375","0.4375","0.4375","0.53125","0.53125","0.53125","0.3125","0.3125","0.3125","0.34375","0.34375","0.34375","","","","0.34375","0.34375","0.34375","","",""
"140","0.40625","0.40625","0.40625","0.46875","0.46875","0.46875","0.375","0.375","0.375","0.375","0.375","0.375","0.375","0.375","0.375","0.28125","0.28125","0.28125","0.46875","0.46875","0.46875","","","","0.25","0.25","0.25","","",""
"141","0.4375","0.4375","0.4375","0.46875","0.46875","0.46875","0.59375","0.59375","0.59375","0.40625","0.40625","0.40625","0.46875","0.46875","0.46875","0.4375","0.4375","0.4375","0.40625","0.40625","0.40625","","","","0.5625","0.5625","0.5625","","",""
"142","0.46875","0.46875","0.46875","0.4375","0.4375","0.4375","0.4375","0.4375","0.4375","0.40625","0.40625","0.40625","0.53125","0.53125","0.53125","0.5","0.5","0.5","0.5","0.5","0.5","","","","0.4375","0.4375","0.4375","","",""
"143","0.4375","0.4375","0.4375","0.46875","0.46875","0.46875","0.40625","0.40625","0.40625","0.3125","0.3125","0.3125","0.46875","0.46875","0.46875","0.375","0.375","0.375","0.46875","0.46875","0.46875","","","","0.4375","0.4375","0.4375","","",""
"144","0.40625","0.40625","0.40625","0.40625","0.40625","0.40625","0.53125","0.53125","0.53125","0.1875","0.1875","0.1875","0.59375","0.59375","0.59375","0.34375","0.34375","0.34375","0.5625","0.5625","0.5625","","","","0.4375","0.4375","0.4375","","",""
"145","0.34375","0.34375","0.34375","0.5","0.5","0.5","0.625","0.625","0.625","0.34375","0.34375","0.34375","0.5","0.5","0.5","0.28125","0.28125","0.28125","0.4375","0.4375","0.4375","","","","0.5","0.5","0.5","","",""
"146","0.28125","0.28125","0.28125","0.53125","0.53125","0.53125","0.5","0.5","0.5","0.40625","0.40625","0.40625","0.375","0.375","0.375","0.40625","0.40625","0.40625","0.53125","0.53125","0.53125","","","","0.40625","0.40625","0.40625","","",""
"147","0.46875","0.46875","0.46875","0.59375","0.59375","0.59375","0.625","0.625","0.625","0.53125","0.53125","0.53125","0.53125","0.53125","0.53125","0.53125","0.53125","0.53125","0.40625","0.40625","0.40625","","","","0.4375","0.4375","0.4375","","",""
"148","0.40625","0.40625","0.40625","0.53125","0.53125","0.53125","0.28125","0.28125","0.28125","0.5625","0.5625","0.5625","0.4375","0.4375","0.4375","0.5","0.5","0.5","0.40625","0.40625","0.40625","","","","0.46875","0.46875","0.46875","","",""
"149","0.4375","0.4375","0.4375","0.46875","0.46875","0.46875","0.5625","0.5625","0.5625","0.40625","0.40625","0.40625","0.59375","0.59375","0.59375","0.4375","0.4375","0.4375","0.4375","0.4375","0.4375","","","","0.375","0.375","0.375","","",""
"150","0.4375","0.4375","0.4375","0.375","0.375","0.375","0.625","0.625","0.625","0.3125","0.3125","0.3125","0.5","0.5","0.5","0.46875","0.46875","0.46875","0.40625","0.40625","0.40625","","","","0.5","0.5","0.5","","",""
"151","0.46875","0.46875","0.46875","0.4375","0.4375","0.4375","0.46875","0.46875","0.46875","0.46875","0.46875","0.46875","0.40625","0.40625","0.40625","0.46875","0.46875","0.46875","0.59375","0.59375","0.59375","","","","0.1875","0.1875","0.1875","","",""
"152","0.4375","0.4375","0.4375","0.40625","0.40625","0.40625","0.3125","0.3125","0.3125","0.4375","0.4375","0.4375","0.375","0.375","0.375","0.53125","0.53125","0.53125","0.5","0.5","0.5","","","","0.53125","0.53125","0.53125","","",""
