Model,MAE,R2
LinearRegression,0.2955637320328166,0.48321411357586697
RandomForestRegressor,0.174,0.648939805044719
MLP,0.17414586725569187,0.3999911443303624
LinearRegression,0.2955637320328166,0.48321411357586697
RandomForestRegressor,0.16985,0.6599356848557933
MLP,0.17414586725569187,0.3999911443303624
